
RandomForest Parametro Ekorketa:
Ekortuko ditugun parametroak:
bagSizePercent maxDepth numFeatures numIterations FMEASURE DENBORA
Ebaluzio metrika: Klase minoritarioa fMeasure


	1	 	10	 	 0	  1	   NaN	 0.9381787

	1	 	10	 	 0	  6	   0.4444444444444444	 0.043483

	1	 	10	 	 0	  11	   NaN	 0.0491999

	1	 	10	 	 0	  16	   NaN	 0.0613738

	1	 	10	 	 0	  21	   NaN	 0.0663457

	1	 	10	 	 0	  26	   NaN	 0.0711349

	1	 	10	 	 0	  31	   NaN	 0.0920732

	1	 	10	 	 0	  36	   NaN	 0.0823255

	1	 	10	 	 0	  41	   NaN	 0.0536449

	1	 	10	 	 0	  46	   NaN	 0.0534307

	1	 	10	 	 200	  1	   NaN	 0.0109578

	1	 	10	 	 200	  6	   0.14285714285714288	 0.0196026

	1	 	10	 	 200	  11	   NaN	 0.0252732

	1	 	10	 	 200	  16	   NaN	 0.0386034

	1	 	10	 	 200	  21	   NaN	 0.0384549

	1	 	10	 	 200	  26	   NaN	 0.053003

	1	 	10	 	 200	  31	   NaN	 0.0510674

	1	 	10	 	 200	  36	   NaN	 0.06914

	1	 	10	 	 200	  41	   NaN	 0.0651209

	1	 	10	 	 200	  46	   NaN	 0.0649679

	1	 	10	 	 400	  1	   NaN	 0.0136354

	1	 	10	 	 400	  6	   0.0	 0.0198857

	1	 	10	 	 400	  11	   NaN	 0.0274856

	1	 	10	 	 400	  16	   NaN	 0.0346272

	1	 	10	 	 400	  21	   NaN	 0.0415435

	1	 	10	 	 400	  26	   0.14285714285714288	 0.0478242

	1	 	10	 	 400	  31	   0.14285714285714288	 0.0707676

	1	 	10	 	 400	  36	   0.14285714285714288	 0.0681419

	1	 	10	 	 400	  41	   NaN	 0.0720389

	1	 	10	 	 400	  46	   NaN	 0.1051636

	1	 	10	 	 600	  1	   NaN	 0.0132324

	1	 	10	 	 600	  6	   0.3125	 0.0260673

	1	 	10	 	 600	  11	   0.5263157894736842	 0.0363091

	1	 	10	 	 600	  16	   0.4444444444444444	 0.0555168

	1	 	10	 	 600	  21	   NaN	 0.0448226

	1	 	10	 	 600	  26	   0.4444444444444444	 0.0808403

